current_relative_path,entry_kind,origin_class,recommended_destination,recommended_action,git_tracking_recommendation,description,notes,known_size_bytes,known_sha256,known_source_url,classification_basis
2016_04/O95073_Q9Y620_2016_04.tsv,file,gpt56sol_script_output,gpt56sol/user_runs/uniprot_2016_audit/2016_04/O95073_Q9Y620_2016_04.tsv,move,normal_git,"Small extracted UniProt audit records, summaries, metalinks, and provenance generated by the assistant-provided low-storage script.",,739,95652bad82c4587f1ef95c5f4a8aab994999a5c05230b0fc0f9b6231d147fb48,https://ftp.uniprot.org/pub/databases/uniprot/previous_releases/release-2016_04/knowledgebase/uniprot_sprot-only2016_04.tar.gz,filename/path rules; hashes only where previously recorded
2016_04/O95073_Q9Y620_2016_04_provenance.json,file,gpt56sol_script_output,gpt56sol/user_runs/uniprot_2016_audit/2016_04/O95073_Q9Y620_2016_04_provenance.json,move,normal_git,"Small extracted UniProt audit records, summaries, metalinks, and provenance generated by the assistant-provided low-storage script.",,2640,289558ffc69346d6ea44ca722f5d1a8775f197d7a7e05fb0125d3cda24e3648a,,filename/path rules; hashes only where previously recorded
2016_04/RELEASE_2016_04.metalink,file,gpt56sol_script_output,gpt56sol/user_runs/uniprot_2016_audit/2016_04/RELEASE_2016_04.metalink,move,normal_git,"Small extracted UniProt audit records, summaries, metalinks, and provenance generated by the assistant-provided low-storage script.",,2801,8ce739216ef7548ac0d422b43ae4306ee8990c83b8a3c1b3028b32546dc8c5f6,https://ftp.uniprot.org/pub/databases/uniprot/previous_releases/release-2016_04/knowledgebase/RELEASE.metalink,filename/path rules; hashes only where previously recorded
2016_05,directory,gpt56sol_script_output,gpt56sol/user_runs/uniprot_2016_audit/2016_05,move,normal_git,"Small extracted UniProt audit records, summaries, metalinks, and provenance generated by the assistant-provided low-storage script.",,,,,filename/path rules; hashes only where previously recorded
2016_05/O95073_Q9Y620_2016_05.dat,file,gpt56sol_script_output,gpt56sol/user_runs/uniprot_2016_audit/2016_05/O95073_Q9Y620_2016_05.dat,move,normal_git,"Small extracted UniProt audit records, summaries, metalinks, and provenance generated by the assistant-provided low-storage script.",,19527,f893a80ede1b4982b618a277a3686279ca958b02c2879e64ddac42e63ae481e2,https://ftp.uniprot.org/pub/databases/uniprot/previous_releases/release-2016_05/knowledgebase/uniprot_sprot-only2016_05.tar.gz,filename/path rules; hashes only where previously recorded
2016_05/O95073_Q9Y620_2016_05.tsv,file,gpt56sol_script_output,gpt56sol/user_runs/uniprot_2016_audit/2016_05/O95073_Q9Y620_2016_05.tsv,move,normal_git,"Small extracted UniProt audit records, summaries, metalinks, and provenance generated by the assistant-provided low-storage script.",,739,144b8831d8cab943157d6123b4f121ef400882997ccf6a22db95deac388f5f0e,https://ftp.uniprot.org/pub/databases/uniprot/previous_releases/release-2016_05/knowledgebase/uniprot_sprot-only2016_05.tar.gz,filename/path rules; hashes only where previously recorded
2016_05/O95073_Q9Y620_2016_05_provenance.json,file,gpt56sol_script_output,gpt56sol/user_runs/uniprot_2016_audit/2016_05/O95073_Q9Y620_2016_05_provenance.json,move,normal_git,"Small extracted UniProt audit records, summaries, metalinks, and provenance generated by the assistant-provided low-storage script.",,2640,09f57af9d5105d90b04f27ccb54870aad7726811990e41415662c756c5e02656,,filename/path rules; hashes only where previously recorded
2016_05/RELEASE_2016_05.metalink,file,gpt56sol_script_output,gpt56sol/user_runs/uniprot_2016_audit/2016_05/RELEASE_2016_05.metalink,move,normal_git,"Small extracted UniProt audit records, summaries, metalinks, and provenance generated by the assistant-provided low-storage script.",,2801,4e5673fed2d2dd752d2e7d64d9136d688e008723a0b62df720860322b5196b27,https://ftp.uniprot.org/pub/databases/uniprot/previous_releases/release-2016_05/knowledgebase/RELEASE.metalink,filename/path rules; hashes only where previously recorded
2016_06,directory,gpt56sol_script_output,gpt56sol/user_runs/uniprot_2016_audit/2016_06,move,normal_git,"Small extracted UniProt audit records, summaries, metalinks, and provenance generated by the assistant-provided low-storage script.",,,,,filename/path rules; hashes only where previously recorded
2016_06/O95073_Q9Y620_2016_06.dat,file,gpt56sol_script_output,gpt56sol/user_runs/uniprot_2016_audit/2016_06/O95073_Q9Y620_2016_06.dat,move,normal_git,"Small extracted UniProt audit records, summaries, metalinks, and provenance generated by the assistant-provided low-storage script.",,19479,c9ef724cb42304f4b9271fb41d6ac92e6ec590a39605dc38527b8f85fc65385f,https://ftp.uniprot.org/pub/databases/uniprot/previous_releases/release-2016_06/knowledgebase/uniprot_sprot-only2016_06.tar.gz,filename/path rules; hashes only where previously recorded
2016_06/O95073_Q9Y620_2016_06.tsv,file,gpt56sol_script_output,gpt56sol/user_runs/uniprot_2016_audit/2016_06/O95073_Q9Y620_2016_06.tsv,move,normal_git,"Small extracted UniProt audit records, summaries, metalinks, and provenance generated by the assistant-provided low-storage script.",,739,422aeb8a5a146a458c0f7fc9e0f93ea1a1a75822d7249b84bc52cd19f955c91f,https://ftp.uniprot.org/pub/databases/uniprot/previous_releases/release-2016_06/knowledgebase/uniprot_sprot-only2016_06.tar.gz,filename/path rules; hashes only where previously recorded
2016_06/O95073_Q9Y620_2016_06_provenance.json,file,gpt56sol_script_output,gpt56sol/user_runs/uniprot_2016_audit/2016_06/O95073_Q9Y620_2016_06_provenance.json,move,normal_git,"Small extracted UniProt audit records, summaries, metalinks, and provenance generated by the assistant-provided low-storage script.",,2640,06072c2ad206f57eb1d252b3ab90bc19452474050d1543993c135dbd81f8c965,,filename/path rules; hashes only where previously recorded
2016_06/RELEASE_2016_06.metalink,file,gpt56sol_script_output,gpt56sol/user_runs/uniprot_2016_audit/2016_06/RELEASE_2016_06.metalink,move,normal_git,"Small extracted UniProt audit records, summaries, metalinks, and provenance generated by the assistant-provided low-storage script.",,2801,a9aba5c34b83401dfbea58b8bd68bfe75df149ed431266ff04e673e6d1a576d0,https://ftp.uniprot.org/pub/databases/uniprot/previous_releases/release-2016_06/knowledgebase/RELEASE.metalink,filename/path rules; hashes only where previously recorded
2026-08-14-gene2go.gz,file,external_raw_data,data/raw/ncbi_gene/2026-08-14-gene2go.gz,move,gitignore_or_data_lfs,"Historical Gene Ontology, GOA, or NCBI Gene source file.",,,,https://ftp.ncbi.nlm.nih.gov/gene/DATA/gene2go.gz,filename/path rules; hashes only where previously recorded
2026-08-14-gene2go_human.tsv.gz,file,external_raw_data,data/raw/ncbi_gene/2026-08-14-gene2go_human.tsv.gz,move,gitignore_or_data_lfs,"Historical Gene Ontology, GOA, or NCBI Gene source file.",,,,,filename/path rules; hashes only where previously recorded
B104D_GOA_date_screen_reference_pack_20260829T010311Z.zip,file,gpt56sol_artifact_or_script_output,gpt56sol/reference_packs/B104D_GOA_date_screen_reference_pack_20260829T010311Z.zip,move,normal_git,Assistant-provided artifact or output from an assistant-provided script.,,1124051,22791f83190a4ae5b804c22d8bffec9e125fb975c981ea80fa69cfa183d591c4,,filename/path rules; hashes only where previously recorded
bio-tissue-hierarchy.tar.gz,file,external_raw_data_or_code,data/raw/ohmnet/bio-tissue-hierarchy.tar.gz,move,gitignore_or_data_lfs,"Released OhmNet tissue data, README, hierarchy, labels, networks, or source-code archive.",,421785,c4568a68bb83319bff854eecf73a93f698fe2c41ed6e95639af974dd024ffef7,https://snap.stanford.edu/ohmnet/bio-tissue-hierarchy.tar.gz,filename/path rules; hashes only where previously recorded
bio-tissue-labels.tar.gz,file,external_raw_data_or_code,data/raw/ohmnet/bio-tissue-labels.tar.gz,move,gitignore_or_data_lfs,"Released OhmNet tissue data, README, hierarchy, labels, networks, or source-code archive.",,1793328,6abf272940d2407849bd779e5f85c0377a2fb07c2351d1ebc82e3d06a46bc11d,https://snap.stanford.edu/ohmnet/bio-tissue-labels.tar.gz,filename/path rules; hashes only where previously recorded
bio-tissue-networks.tar.gz,file,external_raw_data_or_code,data/raw/ohmnet/bio-tissue-networks.tar.gz,move,gitignore_or_data_lfs,"Released OhmNet tissue data, README, hierarchy, labels, networks, or source-code archive.",,15568869,2c79e17f4a7c8680a7cbf8b20cef4acf356a7523c9a75fce586494153c0603d1,https://snap.stanford.edu/ohmnet/bio-tissue-networks.tar.gz,filename/path rules; hashes only where previously recorded
bio-tissue-readme.txt,file,external_raw_data_or_code,data/raw/ohmnet/bio-tissue-readme.txt,move,gitignore_or_data_lfs,"Released OhmNet tissue data, README, hierarchy, labels, networks, or source-code archive.",,1465,7f3372f8ae3a90852951c73b18980386ceb4ad2f5d32d81366adf22fd75e2b20,https://snap.stanford.edu/ohmnet/bio-tissue-readme.txt,filename/path rules; hashes only where previously recorded
bioconductor-annotation-org.Hs.eg.db_3.0.0.tar.gz,file,external_raw_data,data/raw/bioconductor/bioconductor-annotation-org.Hs.eg.db_3.0.0.tar.gz,move,gitignore_or_data_lfs,Historical Bioconductor annotation package.,,,,https://bioconductor.statistik.tu-dortmund.de/packages/3.0/data/annotation/src/contrib/org.Hs.eg.db_3.0.0.tar.gz,filename/path rules; hashes only where previously recorded
bioconductor-annotation-org.Hs.eg.db_3.1.2.tar.gz,file,external_raw_data,data/raw/bioconductor/bioconductor-annotation-org.Hs.eg.db_3.1.2.tar.gz,move,gitignore_or_data_lfs,Historical Bioconductor annotation package.,,,,https://bioconductor.statistik.tu-dortmund.de/packages/3.1/data/annotation/src/contrib/org.Hs.eg.db_3.1.2.tar.gz,filename/path rules; hashes only where previously recorded
bioconductor-annotation-org.Hs.eg.db_3.3.0.tar.gz,file,external_raw_data,data/raw/bioconductor/bioconductor-annotation-org.Hs.eg.db_3.3.0.tar.gz,move,gitignore_or_data_lfs,Historical Bioconductor annotation package.,,,,https://bioconductor.statistik.tu-dortmund.de/packages/3.3/data/annotation/src/contrib/org.Hs.eg.db_3.3.0.tar.gz,filename/path rules; hashes only where previously recorded
bioconductor-annotation-org.Hs.eg.db_3.4.0.tar.gz,file,external_raw_data,data/raw/bioconductor/bioconductor-annotation-org.Hs.eg.db_3.4.0.tar.gz,move,gitignore_or_data_lfs,Historical Bioconductor annotation package.,,,,https://bioconductor.statistik.tu-dortmund.de/packages/3.4/data/annotation/src/contrib/org.Hs.eg.db_3.4.0.tar.gz,filename/path rules; hashes only where previously recorded
biosnap_ppi_audit_results,directory,gpt56sol_script_output,gpt56sol/user_runs/biosnap_ppi_audit,move,normal_git,BioSNAP PPI provenance-audit output generated by the assistant-provided script.,,,,,filename/path rules; hashes only where previously recorded
biosnap_ppi_audit_results/biosnap_ppi_provenance_audit_20260830T113352Z.json,file,gpt56sol_script_output,gpt56sol/user_runs/biosnap_ppi_audit/biosnap_ppi_provenance_audit_20260830T113352Z.json,move,normal_git,BioSNAP PPI provenance-audit output generated by the assistant-provided script.,,1355,83e90690a7eef16ba0baa42c73e5510931a95557017b402b60bd5c482067bded,,filename/path rules; hashes only where previously recorded
biosnap_ppi_audit_results/biosnap_ppi_provenance_audit_20260830T113352Z.zip,file,gpt56sol_script_output,gpt56sol/user_runs/biosnap_ppi_audit/biosnap_ppi_provenance_audit_20260830T113352Z.zip,move,normal_git,BioSNAP PPI provenance-audit output generated by the assistant-provided script.,,1126,adaf28f8bcbe2490d4af9ad212fc646d3ea183b315f0c95835cc3fa36f0df0c3,,filename/path rules; hashes only where previously recorded
biosnap_ppi_audit_results/README_20260830T113352Z.md,file,gpt56sol_script_output,gpt56sol/user_runs/biosnap_ppi_audit/README_20260830T113352Z.md,move,normal_git,BioSNAP PPI provenance-audit output generated by the assistant-provided script.,,376,33fc9098ec2cb24e6d81a04df737daaf308ddc8629f245292fc125e2c1a2810e,,filename/path rules; hashes only where previously recorded
blood_sample.tsv.gz,file,external_raw_or_derived_data,data/derived/humanbase/blood_sample.tsv.gz,move,gitignore_or_data_lfs,HumanBase/GIANT source or locally sampled derived data.,,,,,filename/path rules; hashes only where previously recorded
chat_gpt_historical_go_mapping_inventory.md,file,gpt56sol_artifact_or_script_output,gpt56sol/docs/chat_gpt_historical_go_mapping_inventory.md,move,normal_git,Assistant-provided artifact or output from an assistant-provided script.,,,,,filename/path rules; hashes only where previously recorded
dgl_ppi.zip,file,external_raw_data,data/raw/ppi_benchmarks/dgl_ppi.zip,move,gitignore_or_data_lfs,Released GraphSAGE or DGL PPI benchmark archive.,,7088822,1f5b2b09ac0f897fa6aa1338c64ab75a5473674cbba89380120bede8cddb2a6a,https://data.dgl.ai/dataset/ppi.zip,filename/path rules; hashes only where previously recorded
dhimmel-gene-ontology-962a5e1-GO_annotations-9606-direct-allev.tsv,file,invalid_download_html_disguised_as_tsv,quarantine/invalid_html/dhimmel-gene-ontology-962a5e1-GO_annotations-9606-direct-allev.tsv,delete_or_quarantine,do_not_commit,"Rejected saved GitHub HTML page, not a scientific TSV; superseded by the genuine GO_annotations files.",,147142,26884fcfa735b95c329280107c118ee38d1fc1a510287187873e8805991129d0,https://raw.githubusercontent.com/dhimmel/gene-ontology/962a5e12f8590400c2891cde93fd6a783b26e02e/annotations/taxid_9606/GO_annotations-9606-direct-allev.tsv,filename/path rules; hashes only where previously recorded
dhimmel-gene-ontology-962a5e1-GO_annotations-9606-direct-expev.tsv,file,invalid_download_html_disguised_as_tsv,quarantine/invalid_html/dhimmel-gene-ontology-962a5e1-GO_annotations-9606-direct-expev.tsv,delete_or_quarantine,do_not_commit,"Rejected saved GitHub HTML page, not a scientific TSV; superseded by the genuine GO_annotations files.",,150794,36dcf23ff53284098317126dca8f4e87990071017a17ce0847d7578a18da3d7a,https://raw.githubusercontent.com/dhimmel/gene-ontology/962a5e12f8590400c2891cde93fd6a783b26e02e/annotations/taxid_9606/GO_annotations-9606-direct-expev.tsv,filename/path rules; hashes only where previously recorded
dhimmel-gene-ontology-962a5e1-GO_annotations-9606-inferred-allev.tsv,file,invalid_download_html_disguised_as_tsv,quarantine/invalid_html/dhimmel-gene-ontology-962a5e1-GO_annotations-9606-inferred-allev.tsv,delete_or_quarantine,do_not_commit,"Rejected saved GitHub HTML page, not a scientific TSV; superseded by the genuine GO_annotations files.",,147185,12b32f3f44014ba0d16a341ad5ace8170afa047c783074cc817556edd7cee874,https://raw.githubusercontent.com/dhimmel/gene-ontology/962a5e12f8590400c2891cde93fd6a783b26e02e/annotations/taxid_9606/GO_annotations-9606-inferred-allev.tsv,filename/path rules; hashes only where previously recorded
dhimmel-gene-ontology-962a5e1-GO_annotations-9606-inferred-expev.tsv,file,invalid_download_html_disguised_as_tsv,quarantine/invalid_html/dhimmel-gene-ontology-962a5e1-GO_annotations-9606-inferred-expev.tsv,delete_or_quarantine,do_not_commit,"Rejected saved GitHub HTML page, not a scientific TSV; superseded by the genuine GO_annotations files.",,147186,66064652bc84250a6d2349b591381b10f7436bc48cdb4e4224be977bd7258474,https://raw.githubusercontent.com/dhimmel/gene-ontology/962a5e12f8590400c2891cde93fd6a783b26e02e/annotations/taxid_9606/GO_annotations-9606-inferred-expev.tsv,filename/path rules; hashes only where previously recorded
dhimmel_GO_annotations_962a5e1_manifest.csv,file,gpt56sol_artifact_or_script_output,gpt56sol/provenance/dhimmel_download/dhimmel_GO_annotations_962a5e1_manifest.csv,move,normal_git,Assistant-provided artifact or output from an assistant-provided script.,,,,,filename/path rules; hashes only where previously recorded
download_and_verify_biosnap_ppi_sources.py,file,gpt56sol_script,gpt56sol/scripts/download_and_verify_biosnap_ppi_sources.py,move,normal_git,"Assistant-provided analysis, download, audit, or inventory script.",,5370,2d70583c8737d3fe2481e317b9b30283c5efce18ec560601cbfc4e77aab79fc0,,filename/path rules; hashes only where previously recorded
download_extract_uniprot_2016_mapping_audit.py,file,gpt56sol_script,gpt56sol/scripts/download_extract_uniprot_2016_mapping_audit.py,move,normal_git,"Assistant-provided analysis, download, audit, or inventory script.",,21016,f4c26105da8660492f36156f693680c1a242fcba96a9b6e4f41e9618a27d6022,,filename/path rules; hashes only where previously recorded
download_raw_dhimmel_annotations.py,file,gpt56sol_script,gpt56sol/scripts/download_raw_dhimmel_annotations.py,move,normal_git,"Assistant-provided analysis, download, audit, or inventory script.",,2668,98d6d63f0bfec591fc2156744d3f3c0d96278b40880d513c30a50a0ee6394958,,filename/path rules; hashes only where previously recorded
file_inventory_2026_08_18.pdf,file,other_agent_or_prior_investigation,other_agent/file_inventory_2026_08_18.pdf,move,normal_git,"Artifact from the other investigation agent or pre-existing local workflow, not generated by gpt56sol.",,,,,filename/path rules; hashes only where previously recorded
filter_gene2go.sh,file,other_agent_or_prior_investigation,other_agent/filter_gene2go.sh,move,normal_git,"Artifact from the other investigation agent or pre-existing local workflow, not generated by gpt56sol.",,,,,filename/path rules; hashes only where previously recorded
find_gene2go_2016.py,file,other_agent_or_prior_investigation,other_agent/find_gene2go_2016.py,move,normal_git,"Artifact from the other investigation agent or pre-existing local workflow, not generated by gpt56sol.",,,,,filename/path rules; hashes only where previously recorded
gene2go_github_survey.tsv,file,other_agent_or_prior_investigation,other_agent/gene2go_github_survey.tsv,move,normal_git,"Artifact from the other investigation agent or pre-existing local workflow, not generated by gpt56sol.",,,,,filename/path rules; hashes only where previously recorded
gene_association.goa_human.155.gz,file,external_raw_data,data/raw/ebi_goa_human/gene_association.goa_human.155.gz,move,gitignore_or_data_lfs,"Historical Gene Ontology, GOA, or NCBI Gene source file.",,,,https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/HUMAN/gene_association.goa_human.155.gz,filename/path rules; hashes only where previously recorded
gene_association.goa_human.156.gz,file,external_raw_data,data/raw/ebi_goa_human/gene_association.goa_human.156.gz,move,gitignore_or_data_lfs,"Historical Gene Ontology, GOA, or NCBI Gene source file.",,,,https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/HUMAN/gene_association.goa_human.156.gz,filename/path rules; hashes only where previously recorded
gene_association.goa_human.157.gz,file,external_raw_data,data/raw/ebi_goa_human/gene_association.goa_human.157.gz,move,gitignore_or_data_lfs,"Historical Gene Ontology, GOA, or NCBI Gene source file.",,,,https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/HUMAN/gene_association.goa_human.157.gz,filename/path rules; hashes only where previously recorded
gene_association.goa_ref_human.157.gz,file,external_raw_data,data/raw/ebi_goa_human/gene_association.goa_ref_human.157.gz,move,gitignore_or_data_lfs,"Historical Gene Ontology, GOA, or NCBI Gene source file.",,,,https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/HUMAN/gene_association.goa_ref_human.157.gz,filename/path rules; hashes only where previously recorded
goa_date_screen_cache,directory,working_cache,data/cache/goa_date_screen,move_or_delete_after_validation,gitignore,Working download/cache directory; not a canonical result.,,,,,filename/path rules; hashes only where previously recorded
goa_date_screen_results,directory,gpt56sol_script_output,gpt56sol/user_runs/goa_date_screen,move,normal_git,GOA release 158–169 date-screen result generated by the assistant-provided script.,,451017,collection_manifested_per_file,per-release GAF/GPI URLs in JSON,filename/path rules; hashes only where previously recorded
goa_date_screen_results/goa_date_screen_events.csv,file,gpt56sol_script_output,gpt56sol/user_runs/goa_date_screen/goa_date_screen_events.csv,move,normal_git,GOA release 158–169 date-screen result generated by the assistant-provided script.,,288,9af9ca06b23c00cd9d720aa5cc1863d73516940d6f5ee03c46fa2367dee56fee,,filename/path rules; hashes only where previously recorded
goa_date_screen_results/goa_date_screen_run_metadata.json,file,gpt56sol_script_output,gpt56sol/user_runs/goa_date_screen/goa_date_screen_run_metadata.json,move,normal_git,GOA release 158–169 date-screen result generated by the assistant-provided script.,,1179,9767f26e67c23a3fbfe6f2d0bf198ad5a5664a6f06038187d050622f3e3b8bb9,per-release URLs in detailed JSON,filename/path rules; hashes only where previously recorded
goa_date_screen_results/goa_release_158_screen.json,file,gpt56sol_script_output,gpt56sol/user_runs/goa_date_screen/goa_release_158_screen.json,move,normal_git,GOA release 158–169 date-screen result generated by the assistant-provided script.,,35975,10c7c77191d095a22669bfc446ac454a8f07b8a5fc363a3edaad02d1b51f41e6,per-source URLs inside JSON,filename/path rules; hashes only where previously recorded
goa_date_screen_results/goa_release_159_screen.json,file,gpt56sol_script_output,gpt56sol/user_runs/goa_date_screen/goa_release_159_screen.json,move,normal_git,GOA release 158–169 date-screen result generated by the assistant-provided script.,,35904,74a0c93c9b9b7c3507056121ebfea338ccade82a4a1453b473ef89a29868cf41,per-source URLs inside JSON,filename/path rules; hashes only where previously recorded
goa_date_screen_results/goa_release_160_screen.json,file,gpt56sol_script_output,gpt56sol/user_runs/goa_date_screen/goa_release_160_screen.json,move,normal_git,GOA release 158–169 date-screen result generated by the assistant-provided script.,,36068,ec33c2bc8d35012d72b0c3c1f677ce421a0122b8d950086d8559942e5fbbf582,per-source URLs inside JSON,filename/path rules; hashes only where previously recorded
goa_date_screen_results/goa_release_161_screen.json,file,gpt56sol_script_output,gpt56sol/user_runs/goa_date_screen/goa_release_161_screen.json,move,normal_git,GOA release 158–169 date-screen result generated by the assistant-provided script.,,36096,29259ebfe8b99d53ebdcb8bc0eaa728a16185abe4f6af3734329b2c8498cd116,per-source URLs inside JSON,filename/path rules; hashes only where previously recorded
goa_date_screen_results/goa_release_162_screen.json,file,gpt56sol_script_output,gpt56sol/user_runs/goa_date_screen/goa_release_162_screen.json,move,normal_git,GOA release 158–169 date-screen result generated by the assistant-provided script.,,36211,03ee1538cb0e7c43487aff223bdc32924b8f77f39ad84e847489fe7132019611,per-source URLs inside JSON,filename/path rules; hashes only where previously recorded
goa_date_screen_results/goa_release_163_screen.json,file,gpt56sol_script_output,gpt56sol/user_runs/goa_date_screen/goa_release_163_screen.json,move,normal_git,GOA release 158–169 date-screen result generated by the assistant-provided script.,,36438,16b0336a4a0c35a565e99a0d33a7d6ef8a80cce41d9b2e9969a58a336a2b237a,per-source URLs inside JSON,filename/path rules; hashes only where previously recorded
goa_date_screen_results/goa_release_164_screen.json,file,gpt56sol_script_output,gpt56sol/user_runs/goa_date_screen/goa_release_164_screen.json,move,normal_git,GOA release 158–169 date-screen result generated by the assistant-provided script.,,36607,d60627010cd11dfab9527d58e7dc07ed46721115a210b4cd0988b54d4650b874,per-source URLs inside JSON,filename/path rules; hashes only where previously recorded
goa_date_screen_results/goa_release_165_screen.json,file,gpt56sol_script_output,gpt56sol/user_runs/goa_date_screen/goa_release_165_screen.json,move,normal_git,GOA release 158–169 date-screen result generated by the assistant-provided script.,,36772,29f385ad6480890489e67e60435643412e80d4eb720ccb2eefda63d577d2ee97,per-source URLs inside JSON,filename/path rules; hashes only where previously recorded
goa_date_screen_results/goa_release_166_screen.json,file,gpt56sol_script_output,gpt56sol/user_runs/goa_date_screen/goa_release_166_screen.json,move,normal_git,GOA release 158–169 date-screen result generated by the assistant-provided script.,,36797,896bbb56c5fdd03ef6a151e8695da39b890d4a89c28cf0b0003643d4599f6686,per-source URLs inside JSON,filename/path rules; hashes only where previously recorded
goa_date_screen_results/goa_release_167_screen.json,file,gpt56sol_script_output,gpt56sol/user_runs/goa_date_screen/goa_release_167_screen.json,move,normal_git,GOA release 158–169 date-screen result generated by the assistant-provided script.,,36796,795278f926f64f4f347b8726ca0f0d4665266fced19ea2e92736b88f31b228c4,per-source URLs inside JSON,filename/path rules; hashes only where previously recorded
goa_date_screen_results/goa_release_168_screen.json,file,gpt56sol_script_output,gpt56sol/user_runs/goa_date_screen/goa_release_168_screen.json,move,normal_git,GOA release 158–169 date-screen result generated by the assistant-provided script.,,36820,1f3ebfaf39f61b86e0f7cac47a32db1c0d11f9bc5e97dad2075a1a8fa961f258,per-source URLs inside JSON,filename/path rules; hashes only where previously recorded
goa_date_screen_results/goa_release_169_screen.json,file,gpt56sol_script_output,gpt56sol/user_runs/goa_date_screen/goa_release_169_screen.json,move,normal_git,GOA release 158–169 date-screen result generated by the assistant-provided script.,,36918,61d84f84d2d3f9dfd69d108d34ac6dddfddee0335ec08fea2551df9015bddb74,per-source URLs inside JSON,filename/path rules; hashes only where previously recorded
goa_date_screen_results/goa_release_date_screen_summary_20260829T120614Z.csv,file,gpt56sol_script_output,gpt56sol/user_runs/goa_date_screen/goa_release_date_screen_summary_20260829T120614Z.csv,move,normal_git,GOA release 158–169 date-screen result generated by the assistant-provided script.,,5276,6a0bb2a164ca37e322b5faadee5a705477911f4ea29ebb6ede9635e87545478b,per-release URLs in detailed JSON,filename/path rules; hashes only where previously recorded
