path,size_bytes,sha256,description
critical_artifacts/B104G_INDEPENDENT_FULL_FEATURE_VALIDATION_20260829T150633Z.json,388,af92594dc0b509a35370173e2dd621dc4fd388a81c206cf88fdf6551e0c10ff1,Independent all-row feature validation.
critical_artifacts/B104G_INDEPENDENT_FULL_LABEL_VALIDATION_20260829T150633Z.json,461,d10ea8ac9bcc00a713512bf3e10658d349f2ffbcc47103a6a98657e80eb05828,Independent all-row label validation.
critical_artifacts/B104G_INDEPENDENT_ROW_ORDER_VALIDATION_20260829T150633Z.json,1190,51daba907948fe64488f686c3c048be5dcfcf11aac2849c5a5bfcbdcc6b37dab,Independent validation of complete legacy-Python row-order reconstruction.
critical_artifacts/B104G_REPORT_20260829T151452Z.md,16825,f7e3ed202bbbc8be938b60e8040fc5885824053e4e5e11d4a326241362619f13,Full report on complete row and label resolution.
critical_artifacts/B104G_full_4301_gene_universe.csv.gz,207811,3ddaa4b39cd522859906f38efcb6097bdf73575f135a1dc9fc97d81015dadf44,"Complete 4,301-gene universe under the final row mapping."
critical_artifacts/B104G_full_graphsage_row_to_entrez_mapping.csv.gz,651211,a21a6532e287bfe82102cdc9d6642a0c9aff77f9c7449997cbafb597d1145737,"Complete 56,944-row GraphSAGE-to-Entrez mapping from B104G."
critical_artifacts/B104H_MAPPING_VALIDATION_20260830T110259Z.json,2058,683ee61f7f8548e3afec2eef9149c392f13ce50d962b4e64831fbcfe4533f487,Machine-readable validation summary for canonical node mapping.
critical_artifacts/B104I_EVIDENCE_VS_LITERATURE_REGISTER_20260830T114918Z.csv,6926,0c4726ceb550e36b2a4ed54f627549d26a4476162249e31939bef1406ccaf716,Register comparing evidence to GraphSAGE/OhmNet literature statements.
critical_artifacts/B104I_GRAPHSAGE_GITHUB_ISSUES_TRACKER_20260830T114918Z.csv,2414,c40e21b44e67eade3ba84036e1bfe72a83775eb25d2b31140b02bb1c866a07a5,Machine-readable GraphSAGE GitHub issue tracker.
critical_artifacts/B104I_GRAPHSAGE_GITHUB_ISSUES_TRACKER_20260830T114918Z.md,3445,c8f32e481409187b4a132bae412504b33214454f73e711c6f320d0fdde62a3d1,Readable list of GraphSAGE GitHub issues to revisit after publication.
critical_artifacts/B104I_PPI_PROVENANCE_MENCHE_AND_SPLIT_REPORT_20260830T114918Z.md,4813,49f0bfb2a40d4e0fa6947d5f4c5de1c30800c1708889fc64f097ce1beae24361,"PPI provenance, Menche comparison, and split-semantics report."
critical_artifacts/LEAKAGE_EXPERIMENT_BACKLOG_20260830T110259Z.md,2833,5a006649b0254ea7f5a8a57424490687be308964ae5809481d615ff3e302edc3,Saved plan for later randomized-label and gene-disjoint leakage experiments.
critical_artifacts/actual_input_file_manifest_through_B104I_20260830T114918Z.csv,86807,f840324e44a8c7caf8108b72b3d86c57df95a065bdfab28ae4279efc75a77910,Latest input-file manifest through B104I.
critical_artifacts/graphsage_ppi_entrez_split_membership_20260830T114918Z.tsv.gz,19240,81b21cf764526fd06a8c9c35352d4040eba8d79cc92911176d203d882496ff99,One-row-per-gene split membership table used for leakage analysis.
critical_artifacts/graphsage_ppi_node_to_entrez_20260830T110259Z.tsv.gz,582370,6ba38511638fbcf501c611beb9ad877ba4a26e4b54719c7fe0738db181b2821f,"Compact canonical 56,944-row GraphSAGE node-to-Entrez mapping."
critical_artifacts/graphsage_ppi_node_to_entrez_evidence_20260830T110259Z.tsv.gz,7054822,d3a98e3c2b8b30153ecbab74cab07c7b6476e4961243719e6725a491ef718d73,Evidence-rich node mapping with topology/feature/label support.
critical_artifacts/provenance_events_through_B104I_20260830T114918Z.csv,46275,008e7137dae6e07824a5ecc0d00d9873e40752fde5b23a727f0cb7893f9a660d,Append-only provenance-event history through B104I.
critical_artifacts/source_ledger_through_B104I_FINAL_20260830T114918Z.csv,541463,1a2e6a55d1dbb4a794f882195124003a3447570a3000903fa7ab158dabe8808a,Latest source/provenance ledger through B104I.
